"Html Form","Attachments","Flash content","Html iFrame","HTML content","URLs","External Resources","Javascript","Css","IPs in URLs","@ in URLs","Encoding","Phishy"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","2","0","0","0","False","False","7bit","True"
"False","0","False","False","True","2","0","0","0","False","False","7bit","True"
"False","0","False","False","True","3","0","0","0","True","False","8bit","True"
"False","0","False","False","True","3","0","0","0","True","False","8bit","True"
"False","0","False","False","True","3","0","0","0","False","False","none","True"
"False","0","False","False","True","2","0","0","0","False","False","7bit","True"
"False","0","False","False","True","6","1","0","1","False","False","8bit","True"
"False","0","False","False","True","14","0","1","0","False","False","8bit","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","13","0","0","0","False","False","7bit","True"
"False","0","False","False","True","4","0","0","0","True","False","7bit","True"
"False","0","False","False","True","15","0","0","0","False","False","7bit","True"
"False","0","False","False","True","24","1","1","1","True","False","7bit","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","9","0","0","0","True","False","none","True"
"False","0","False","False","True","14","0","0","0","False","False","8bit","True"
"False","0","False","False","True","5","0","0","0","True","False","none","True"
"False","0","False","False","True","5","0","0","0","True","False","none","True"
"False","0","False","False","True","3","0","0","0","True","False","none","True"
"False","0","False","False","True","3","0","0","0","True","False","none","True"
"False","0","False","False","True","3","0","0","0","False","False","8bit","True"
"False","0","False","False","True","5","0","0","0","False","False","8bit","True"
"False","0","False","False","True","5","0","0","0","False","False","8bit","True"
"False","0","False","False","True","3","0","0","0","True","False","8bit","True"
"False","0","False","False","True","3","0","0","0","True","False","none","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","3","0","0","0","False","False","7bit","True"
"False","0","False","False","True","4","0","0","0","True","False","none","True"
"False","0","False","False","True","2","0","0","0","True","False","7bit","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","22","0","0","0","True","False","7bit","True"
"False","0","False","False","True","22","0","0","0","True","False","7bit","True"
"False","0","False","False","True","3","0","0","1","True","False","7bit","True"
"False","0","False","False","True","6","1","0","1","False","False","8bit","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","0","False","False","True","22","0","0","0","True","False","7bit","True"
"False","0","False","False","True","1","0","0","0","False","False","7bit","True"
"False","0","False","False","True","2","0","0","0","True","False","none","True"
"False","1","False","False","True","0","0","0","0","False","False","none","True"
